titre,entreprise,secteur,localisation,competences,experience,contrat,text_clean
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,,dans le transport/logistique est un plus,A discuter,messagerie transport casablanca transport achat logistique
Commercial digital (h/f) à / bac+5,PJ,Commercial / Vente,Casablanca,,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,commercial digital heure commercial vente
Commercial showroom,TECTRA,Commercial / Vente,Casablanca,"maitrise des logiciels de modelisation 3d (ex: sketchup, autocad, ou specifiques a la marque). maitrise des outils de gestion de la relation client (crm) et bureautique. excellente presentation et elocution (arabe/francais indispensable). sens aigu de l'esthetique et creativite. forte capacite de negociation et orientation resultats.","une experience de 2 a 3 ans minimum est souvent requise dans la vente de produits de luxe, de decoration ou d'ameublement.",A discuter,commercial showroom maitrise logiciel modelisation sketchup autocad marque maitrise outil gestion relation client bureautique excellent presentation elocution arabe francai indispensable sens aigu esthetique creativite fort capacite negociation orientation resultat commercial vente
Comptable expérimentée,GEO4NET,Informatique / Multimédia / Internet,Casablanca,"formation bac+3 ou bac+5 en comptabilite ou equivalent experience minimum de 3 ans, idealement en cabinet dexpertise comptable ou en","minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",A discuter,comptable expérimenter formation comptabilite equivalent experience minimum idealement cabinet dexpertise comptable informatique multimédia internet
Technicien cfo/cfa,INVITECH SOLUTIONS,Informatique / Multimédia / Internet,Agadir,"cles : autonomie, rigueur, bonnes relations clients. capacite a lire des plans, maitrise des outils de mesure. connaissances des technologies evolutives. securite : systemes d'alarme (intrusion, incendie), videosurveillance, controle d'acces (lecteurs de badges, motorisations). communication : telephonie, reseaux informatiques (vdi), interphonie, domotique.",2-5 ans d'experience minimum,CDI,technicien autonomie rigueur relation client capacite lire plan maitrise outil mesure connaissance technologie evolutive securit systeme alarme intrusion incendie videosurveillance controle acce lecteur badge motorisation communication telephonie reseal informatique interphonie domotiqu informatique multimédia internet
Chargée rh,OZONEXPRESS,Ressources Humaines / Recrutement / Intérim,Casablanca,"nous recherchons une professionnelle confirmee, organisee et pragmatique, capable dassurer la gestion des",significative dau moins 2 ans. une experience en societe dinterim ou dans un environnement a fort volume est fortement appreciee. vos,A discuter,charger rechercher professionnel confirme organise pragmatique capable dassurer gestion ressource humain recrutement intérim
Responsable des ressources humaines (h/f),Confidentiel,Comptabilité / Gestion / Audit,Kénitra,,"requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",CDI,responsable ressource humain heure comptabilité gestion audit
Technico commercial(e) h/f / magasinier industriel,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,"en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",A discuter,technico commercial heure magasinier industriel industrie ingénieri energie
Assistante administatif & comptable,entreprise,Comptabilité / Gestion / Audit,Casablanca,,,,assistant administatif comptable comptabilité gestion audit
Comptable expérimenté,Fiduciaire Internationale,Comptabilité / Gestion / Audit,Casablanca,"maitrise des normes comptables et fiscales locales et internationales. qualites personnelles : rigueur, sens de lorganisation et esprit analytique. autonomie et capacite a travailler efficacement en equipe. excellentes","minimum 2 ans dexperience reussie en comptabilite, idealement au sein dun cabinet dexpertise comptable.",A discuter,comptable expérimenté maitrise norme comptable fiscale local international qualite personnelle rigueur sens lorganisation esprit analytique autonomie capacite travailler efficacement equipe excellente comptabiliter gestion audit
