titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
Téléconseillère commercial cdi,-,Commercial / Vente,Mohammedia,bac+3 en gestions dadministration /commerce ou bien qualite,,CDI,,marocannonces,Téléconseillère commercial cdi bac+3 en gestions dadministration /commerce ou bien qualite Commercial / Vente,teleconseillere commercial cdi bac gestion dadministration commerc bien qualit commercial vente,0
Commercial digital (h/f) à / bac+5,PJ,Commercial / Vente,Casablanca,Vente,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",marocannonces,"Commercial digital (h/f) à / bac+5 Vente Commercial / Vente reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",commercial digital heure bac vent commercial vent reussie terrain connaître cycle vente temperament chasseur ame excellent negociateur sen ecoute postuler assurer profil correspondre bien poste,-1
Commercial showroom,TECTRA,Commercial / Vente,Casablanca,"Modelisation 3D, SketchUp, AutoCAD, Relation client, CRM, Bureautique, Arabe, Francais, Negociation","une experience de 2 a 3 ans minimum est souvent requise dans la vente de produits de luxe, de decoration ou d'ameublement.",A discuter,"maitrise des logiciels de modelisation 3d (ex: sketchup, autocad, ou specifiques a la marque). maitrise des outils de gestion de la relation client (crm) et bureautique. excellente presentation et elocution (arabe/francais indispensable). sens aigu de l'esthetique et creativite. forte capacite de negociation et orientation resultats.",marocannonces,"Commercial showroom Modelisation 3D, SketchUp, AutoCAD, Relation client, CRM, Bureautique, Arabe, Francais, Negociation Commercial / Vente maitrise des logiciels de modelisation 3d (ex: sketchup, autocad, ou specifiques a la marque). maitrise des outils de gestion de la relation client (crm) et bureautique. excellente presentation et elocution (arabe/francais indispensable). sens aigu de l'esthetique et creativite. forte capacite de negociation et orientation resultats.",commercial showroom modelisation sketchup autocad relation client crm bureautique arabe francai negociation commercial vente maitrise logiciel modelisation sketchup autocad marque maitrise outil gestion relation client crm bureautique excellent presentation elocution arabe francai indispensable sens aigu esthetique creativite fort capacite negociation orientation resultat,-1
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,Logistique,dans le transport/logistique est un plus,A discuter,"s recherches : commerciaux / agents de terrain responsables logistique chauffeurs livreurs agents de chargement et de dechargement pointeurs / taxateurs magasiniers inventoristes controleurs logistiques objectif : developper un reseau solide et diversifie afin dameliorer nos services de livraison, distribution et logistique. zone : casablanca et d'autre",marocannonces,"Messagerie & transport / casablanca Logistique Transport / Achat / Logistique s recherches : commerciaux / agents de terrain responsables logistique chauffeurs livreurs agents de chargement et de dechargement pointeurs / taxateurs magasiniers inventoristes controleurs logistiques objectif : developper un reseau solide et diversifie afin dameliorer nos services de livraison, distribution et logistique. zone : casablanca et d'autre",messagerie transport casablanca logistique transport achat logistique recherche commercial agent terrain responsable logistique chauffeur livreur agent chargement dechargement pointeur taxateur magasinier inventoriste controleur logistique objectif developper reseau solide diversifier dameliorer service livraison distribution logistique zone casablanca,-1
Commercial terrain rabat/ /kenitra et environs,Wafr,Commercial / Vente,Salé,,,A discuter,,marocannonces,Commercial terrain rabat/ /kenitra et environs Commercial / Vente,commercial terrain rabat kenitra commercial vent,0
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Marrakech,,,A discuter,,marocannonces,Commercial terrain besoin immédiat Commercial / Vente,commercial terrain besoin immediat commercial vente,0
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Tanger,,,A discuter,,marocannonces,Commercial terrain besoin immédiat Commercial / Vente,commercial terrain besoin immediat commercial vente,0
IngÉnieur commercial ( electrique ),SARL,Industrie / Ingénierie / Energie,Deroua,Genie electrique,dans le reseau electrique. poste base a zone industrielle sapino - deroua disponibilite,CDI,ingenieur en genie electrique ou equivalent. minimum 2 ans d'experience dans le reseau electrique. poste base a zone industrielle sapino - deroua disponibilite,marocannonces,IngÉnieur commercial ( electrique ) Genie electrique Industrie / Ingénierie / Energie ingenieur en genie electrique ou equivalent. minimum 2 ans d'experience dans le reseau electrique. poste base a zone industrielle sapino - deroua disponibilite,ingenieur commercial electriqu geni electriqu industrie ingenierie energie ingenieur genie electriqu equivalent minimum experience reseau electriqu poste base zone industriel sapino deroua disponibilit,1
Commercial terrain besoin immédiat,Wafr,Commercial / Vente,Casablanca,,,A discuter,,marocannonces,Commercial terrain besoin immédiat Commercial / Vente,commercial terrain besoin immediat commercial vente,0
Magasinier,entreprise,Autre,Casablanca,,,,,marocannonces,Magasinier Autre,magasinier,2
